run_name,mode,stride,n_frames_requested,videos_total_folder,videos_total_meta,videos_ok,videos_missed,threshold,accuracy,f1,auc,run_elapsed_s,avg_read_fps,avg_face_fps,avg_selected_frames,avg_read_frames,avg_frames_with_faces,avg_num_faces,avg_video_total_frames,avg_prob_fake
stride_1,stride,1.0,,53,53,53,0,0.5,0.8490566037735849,0.8666666666666667,0.8405572755417957,1358.0248356666416,14.95145645313086,9.717689262729362,231.0566037735849,231.0566037735849,205.79245283018867,205.79245283018867,231.0566037735849,0.4752155593896675
stride_2,stride,2.0,,53,53,53,0,0.5,0.8490566037735849,0.8666666666666667,0.8390092879256966,677.4051631577313,14.959473007105272,9.73056571778377,115.71698113207547,115.71698113207547,103.05660377358491,103.05660377358491,231.0566037735849,0.47533621390347264
stride_4,stride,4.0,,53,53,53,0,0.5,0.8490566037735849,0.8666666666666667,0.8390092879256966,342.185085169971,14.785142306696558,9.588479671157922,58.075471698113205,58.075471698113205,51.698113207547166,51.698113207547166,231.0566037735849,0.47591838358488164
stride_5,stride,5.0,,53,53,53,0,0.5,0.8490566037735849,0.8666666666666667,0.8421052631578947,275.68720171321183,15.024451902520934,9.833920258161085,46.490566037735846,46.490566037735846,41.39622641509434,41.39622641509434,231.0566037735849,0.4753439373825827
stride_10,stride,10.0,,53,53,53,0,0.5,0.8301886792452831,0.847457627118644,0.8157894736842105,137.4867522753775,15.088827609962939,9.788233328378663,23.39622641509434,23.39622641509434,20.830188679245282,20.830188679245282,231.0566037735849,0.4583751788909114
stride_15,stride,15.0,,53,53,53,0,0.5,0.8301886792452831,0.847457627118644,0.8126934984520124,94.28894046973437,14.899983816264262,9.740216137533977,15.830188679245284,15.830188679245284,14.075471698113208,14.075471698113208,231.0566037735849,0.4637051982224935
stride_20,stride,20.0,,53,53,53,0,0.5,0.8301886792452831,0.847457627118644,0.8111455108359134,71.33509479556233,15.26617611260819,10.050997996773486,11.88679245283019,11.88679245283019,10.60377358490566,10.60377358490566,231.0566037735849,0.45863810101325986
stride_30,stride,30.0,,53,53,53,0,0.5,0.8301886792452831,0.847457627118644,0.8157894736842104,46.40440863277763,15.489504531404204,10.289586439257578,8.075471698113208,8.075471698113208,7.169811320754717,7.169811320754717,231.0566037735849,0.46628622609850573
uniform_100_frames,uniform,,100.0,53,53,53,0,0.5,0.8490566037735849,0.8666666666666667,0.8390092879256966,485.168194161728,15.025773759376568,9.774720206222291,93.41509433962264,93.41509433962264,78.39622641509433,78.39622641509433,231.0566037735849,0.47555416066781664
uniform_64_frames,uniform,,64.0,53,53,53,0,0.5,0.8490566037735849,0.8666666666666667,0.8390092879256966,319.97215407621115,15.117548207566031,9.902350804521946,63.886792452830186,63.886792452830186,52.943396226415096,52.943396226415096,231.0566037735849,0.4768222199520748
uniform_32_frames,uniform,,32.0,53,53,53,0,0.5,0.8301886792452831,0.847457627118644,0.8126934984520124,162.10427053272724,14.99664407211089,9.652262836436666,32.0,32.0,26.49056603773585,26.49056603773585,231.0566037735849,0.4538647269903221
uniform_16_frames,uniform,,16.0,53,53,53,0,0.5,0.8490566037735849,0.8666666666666667,0.8374613003095976,82.08454151824117,15.016438248831086,9.788586394469853,16.0,16.0,13.283018867924529,13.283018867924529,231.0566037735849,0.48009861715992036
